"","Code","Date","Time.x","Day","Station","Min Delay","Min Gap","Bound","Line","Vehicle","Code Description","Hour","Time Category","datetime","datetime_floor","Time.y","temperature_2m","precipitation"
"13559","PUOPO",2024-02-14,14:00:00,"Wednesday","DUNDAS STATION",0,0,"S","YU",6091,"OPTO (COMMS) Train Door Monitoring",14,"Non-Peak",NA,NA,"14:00",-4.3,0
"13560","PUOPO",2024-11-19,11:26:00,"Tuesday","FINCH WEST STATION",3,8,"S","YU",5606,"OPTO (COMMS) Train Door Monitoring",11,"Non-Peak",NA,NA,"11:00",8.5,0
"13561","PUOPO",2024-07-13,13:09:00,"Saturday","SUMMERHILL STATION",3,7,"N","YU",5446,"OPTO (COMMS) Train Door Monitoring",13,"Non-Peak",NA,NA,"13:00",20.8,0
"13562","PUOPO",2024-08-11,12:26:00,"Sunday","LAWRENCE WEST STATION",0,0,"S","YU",5471,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",16.9,0
"13563","PUOPO",2024-12-10,12:57:00,"Tuesday","QUEEN'S PARK STATION",4,9,"N","YU",5976,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",4.2,0
"13564","PUOPO",2024-05-11,21:08:00,"Saturday","VAUGHAN MC STATION",0,0,"S","YU",6101,"OPTO (COMMS) Train Door Monitoring",21,"Non-Peak",NA,NA,"21:00",10.4,0.5
"13565","PUOPO",2024-06-04,08:51:00,"Tuesday","KING STATION",4,7,"S","YU",5826,"OPTO (COMMS) Train Door Monitoring",8,"Peak",NA,NA,NA,NA,NA
"13566","PUOPO",2024-09-07,22:37:00,"Saturday","LAWRENCE STATION",7,12,"N","YU",5956,"OPTO (COMMS) Train Door Monitoring",22,"Non-Peak",NA,NA,"22:00",13.7,0
"13567","PUOPO",2024-03-21,15:31:00,"Thursday","QUEEN'S PARK STATION",0,0,"S","YU",5646,"OPTO (COMMS) Train Door Monitoring",15,"Peak",NA,NA,"15:00",-3.4,0
"13568","PUOPO",2024-09-30,07:36:00,"Monday","WILSON STATION",7,9,"S","YU",5476,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",18.4,0
